month,Brooklyn,Manhattan,NYC,Queens
2007-01,,2532,2204,
2007-02,,2474,2170,
2007-03,,2482,2184,
2007-04,,2512,2198,
2007-05,,2538,2223,
2007-06,,2561,2242,
2007-07,,2600,2273,
2007-08,,2634,2301,
2007-09,,2651,2319,
2007-10,,2661,2332,
2007-11,,2683,2345,
2007-12,,2692,2352,
2008-01,,2695,2355,
2008-02,,2693,2357,
2008-03,,2699,2363,
2008-04,,2698,2362,
2008-05,,2699,2361,
2008-06,,2698,2362,
2008-07,,2698,2364,
2008-08,,2699,2366,
2008-09,,2687,2356,
2008-10,,2659,2333,
2008-11,,2629,2308,
2008-12,,2593,2277,
2009-01,,2557,2247,
2009-02,,2522,2218,
2009-03,,2494,2194,
2009-04,,2470,2174,
2009-05,,2453,2159,
2009-06,,2443,2151,
2009-07,,2443,2151,
2009-08,,2438,2146,
2009-09,,2438,2146,
2009-10,,2431,2141,
2009-11,,2419,2131,
2009-12,,2411,2124,
2010-01,1837,2416,2127,
2010-02,1833,2420,2130,
2010-03,1842,2424,2133,
2010-04,1847,2432,2139,
2010-05,1862,2444,2150,
2010-06,1881,2460,2164,
2010-07,1888,2476,2178,
2010-08,1899,2490,2191,
2010-09,1906,2506,2205,
2010-10,1921,2517,2214,
2010-11,1913,2523,2219,
2010-12,1927,2530,2226,
2011-01,1933,2543,2237,
2011-02,1938,2554,2246,
2011-03,1938,2569,2258,
2011-04,1959,2585,2273,
2011-05,1977,2599,2286,
2011-06,1990,2617,2301,
2011-07,2004,2636,2317,
2011-08,2020,2652,2332,
2011-09,2032,2666,2344,
2011-10,2044,2680,2357,
2011-11,2049,2685,2361,
2011-12,2047,2689,2364,
2012-01,2049,2697,2371,1759
2012-02,2061,2705,2378,1789
2012-03,2065,2718,2389,1797
2012-04,2086,2731,2401,1786
2012-05,2097,2748,2416,1805
2012-06,2111,2761,2428,1800
2012-07,2126,2777,2443,1810
2012-08,2140,2790,2454,1799
2012-09,2151,2800,2463,1808
2012-10,2164,2806,2469,1808
2012-11,2182,2811,2475,1817
2012-12,2193,2812,2477,1822
2013-01,2198,2814,2480,1822
2013-02,2203,2824,2488,1815
2013-03,2206,2832,2494,1817
2013-04,2220,2840,2502,1823
2013-05,2236,2856,2517,1836
2013-06,2254,2868,2529,1844
2013-07,2274,2880,2542,1862
2013-08,2288,2891,2552,1874
2013-09,2296,2900,2560,1883
2013-10,2305,2904,2564,1885
2013-11,2305,2904,2563,1879
2013-12,2305,2898,2558,1876
2014-01,2306,2900,2560,1879
2014-02,2311,2904,2564,1882
2014-03,2314,2911,2569,1886
2014-04,2326,2927,2582,1898
2014-05,2344,2946,2599,1904
2014-06,2357,2959,2611,1911
2014-07,2370,2972,2624,1928
2014-08,2386,2986,2638,1941
2014-09,2393,2993,2644,1955
2014-10,2393,2997,2648,1962
2014-11,2393,2996,2647,1963
2014-12,2395,2997,2648,1969
2015-01,2404,3002,2654,1978
2015-02,2410,3013,2663,1984
2015-03,2416,3025,2672,1987
2015-04,2429,3041,2685,1993
2015-05,2443,3060,2702,2002
2015-06,2457,3078,2717,2010
2015-07,2473,3093,2732,2029
2015-08,2485,3105,2743,2041
2015-09,2497,3111,2751,2048
2015-10,2499,3112,2751,2049
2015-11,2502,3106,2749,2047
2015-12,2500,3101,2745,2045
2016-01,2500,3100,2745,2050
2016-02,2499,3101,2745,2052
2016-03,2505,3107,2751,2057
2016-04,2513,3118,2760,2066
2016-05,2521,3132,2771,2073
2016-06,2529,3144,2782,2083
2016-07,2537,3154,2790,2088
2016-08,2544,3159,2796,2095
2016-09,2549,3158,2797,2099
2016-10,2546,3149,2791,2099
2016-11,2543,3136,2782,2092
2016-12,2533,3126,2773,2088
2017-01,2530,3118,2767,2087
2017-02,2528,3113,2765,2093
2017-03,2528,3114,2765,2095
2017-04,2533,3123,2772,2099
2017-05,2541,3135,2781,2100
2017-06,2549,3147,2791,2108
